"","FileID","Organ","Age","Genotype","intage","NaiveCT","ActivatedCD4CT","X4TregCT","ThymicDerivedTregsCT","X4TregProlCT","NaiveDerivedTregsCT","hours","ActivatedProlCT","NaiveProlCT","ThymicNaive","ActivatedNaiveCT","X4TregRatio","NonProlActivatedRatio","NonProlActivatedCT","ActivatedProlRatio","EarlyActivatedCD4CT"
"17","JA042618D7KOS_4","Spleen",7,"KO",7,287909.680494409,27780.7586441973,3899.3777458511,37.8580363674873,1750.7410287495,2110.7786807341,168,1,59216.4830897363,228693.197404672,27779.7586441973,0.0122011952191235,1,27780.7586441973,0,0.00145571175295594
"18","GM042718D4KOS","Spleen",4,"KO",4,313754.115109177,10573.0661076692,3893.0587007696,72.3591482170055,389.3058700769,3431.3936824756,96,2835.70854653109,61461.9237060222,252292.191403155,7737.35756113809,0.0118611171015743,0.731798844568445,7737.35756113809,0.268201155431555,0.000725664770523028
"19","AD050318D9KOS_2","Spleen",9,"KO",9,174196.979212856,10607.7939813473,2681.965282313,52.5976821535312,520.9572850536,2108.4103151058,216,2861.02045879742,43459.3397111688,130737.639501687,7746.77352254983,0.0143048265925697,0.730290721725154,7746.77352254983,0.269709278274846,0.000354830708676066
"20","AD050318D9KOS_4","Spleen",9,"KO",9,214991.888081408,13092.0161000136,3252.6846454443,58.1393829877591,537.400071856,2657.1451906006,216,2629.98460692422,55225.6236537111,159766.264427697,10462.0314930894,0.0140603985817337,0.799115385527101,10462.0314930894,0.200884614472899,0.000437927938545456
"21","AD051018D9KOS_T3","Spleen",9,"KO",9,351594.483150285,21410.4851822898,6174.280873608,151.5363052879,490.0222915561,5532.7222767638,216,1,104460.547526816,247133.935623469,21409.4851822898,0.0162832773326441,1,21410.4851822898,0,0.000716180729347594
"22","AD051018D9KOS_T4","Spleen",9,"KO",9,231859.731174484,14119.1900800078,4976.9598444731,164.3567913836,175.6574062755,4636.945646814,216,812.397386303037,58986.8184395888,172872.912734895,13306.7926937048,0.0198320111992534,0.942461473944362,13306.7926937048,0.057538526055638,0.000472286908176262
"23","AD052218D4KOS_T4","Spleen",4,"KO",4,81096.5719024953,2732.83878852734,914.5376683104,8.60525934145941,77.0136983840354,828.9187105849,96,1,39171.0352981268,41925.5366043685,2731.83878852734,0.010791775531069,1,2732.83878852734,0,0.00018756383551926
"24","AD052218D4KOS_T7","Spleen",4,"KO",4,82176.5065432886,2769.23104539095,1168.8575518541,12.8313693514003,91.9326164379649,1064.0935660647,96,645.686434466867,31396.0152747086,50780.49126858,2123.54461092409,0.0135732804636267,0.766835477472516,2123.54461092409,0.233164522527484,0.000190061557415333
"25","KV053118D0KOS_T3","Spleen",0,"KO",0,108.676894051766,550.903688904534,15335.2485537343,778.9332598722,15335.2485537343,1,1,446.184288829186,20.6580194984413,88.0188745533251,104.719400075348,0.958762886597938,0.1900865835253,104.719400075348,0.8099134164747,5.52372765408279e-05
"26","KV053118D0KOS_T9","Spleen",0,"KO",0,303.434298247236,1538.16573157616,47881.6007754105,1219.7327211745,47881.6007754105,1,1,764.135549107574,150.918637812441,152.515660434795,774.030182468591,0.962962962962963,0.503216374269006,774.030182468591,0.496783625730994,0.000154226750686037
"27","KV053118D0KOS_T11","Spleen",0,"KO",0,219.863197446414,1114.52804742359,55853.804963846,1776.8153722938,55853.804963846,1,1,5.40322229288375,218.430863912561,1.43233353385287,1109.1248251307,0.976666666666667,0.995152008686211,1109.1248251307,0.00484799131378899,0.000111750012221672
"28","KV060818D0KOS_T6","Spleen",0,"KO",0,675.167382722169,3422.55090205733,3235.0407511417,12.7196884055378,3235.0407511417,1,1,1,585.80699383247,89.3603888896992,3421.55090205733,0.441176470588235,1,3422.55090205733,0,0.000343167770446282
