NaiveCT,ActivCT,TregCT,ThyDerivedNaive,ActivNaive,ThyDerivedTregs,NaiveDerivedTregs,ProlNaive,ProlActiv,ProlTregs,Il2,ThyWeight,NaiveGain,NaiveLoss,ThymicProductionIR,NaiveProlIR,ActivatedNaiveIR,NaiveToTregIR,NaiveDeathIR,TregGain,TregLoss,TregThymicProductionIR,TregProlIR,TGains,TLoss,TProlIR,TDeathIR,ActivationSuppression,TregDeathSuppression,ActiveDestruction,ILGain,ILLoss,AcTConsumption,TregConsumption,IL2Death,ActivationSuprBoost,DeactivationBoost
1027,252,128,18,252,24,1,1008,0,510,0.0001,0.0023,442.92564550486,408.361319005037,410.889696864377,32.0359486404833,308.099739042402,1.52673393417852,98.7348460284563,2.5065319336789,1.91988465929306,0.0837989411320312,0.895999058368345,309.741432056536,10.1905072605598,1.64169301413327,10.1642830607577,0.999999151991081,0.999956267587924,3.43911125099748e-05,252000,5.080138629,2.52,2.56,0.000138629,0.00131142657429211,2.1544972252457e-05
1062.33170348041,551.597077032832,129.010801456829,357.336491644391,549.025409644409,23.8003481449519,2.53200955315224,704.323183285203,2.57166739024851,504.874450503758,0.681297010569745,0.00233804910225688,458.155413632776,422.223656766909,425.01733778871,33.1380758440658,318.512794999292,1.57925789781618,102.131603869801,2.56679316915907,1.49090067037442,0.0844606102127065,0.903074661130187,322.106259554772,22.306223207873,3.59346455548068,22.2483683589218,0.999414130355015,0.77043938317323,0.0520382116878681,551597.077032832,55160.0231101294,37580.1439621478,17578.9346727488,0.944475232782731,0.899461542656157,0.127999561722577
1098.87647084981,851.817057307558,130.134727792473,597.259287779499,844.859915256969,23.6154318524694,4.10064408359146,501.165564810455,6.9571420521599,500.064468474317,0.765948445489198,0.00237670736689148,473.907505536724,436.744502492633,439.629462515906,34.278043020818,329.465932725187,1.63358519719254,105.644984570253,2.62972366356732,1.46218335681316,0.0851963291632463,0.910942137211539,335.015226821622,34.4477002150678,5.54929409643404,34.3575781208559,0.999402393048101,0.749073557025511,0.081972179833467,851817.057307558,85181.1554066222,65244.7950885907,19935.298491361,1.06182667049722,0.909568075956974,0.141650746874518
1136.67249279998,1153.00280399,131.340571422564,770.765030630486,1139.91396951236,23.4389172976575,5.70760712804384,365.603957190586,13.088834479128,495.434461800921,0.814442343495839,0.00241598346866581,490.19832424611,451.763395599841,454.741282765691,35.4570414804189,340.794963245223,1.68977260643137,109.278659748186,2.69514130936344,1.45265422175164,0.0859856691806859,0.919383033751386,348.306378517392,46.628859389451,7.51141527216846,46.5057415460384,0.999393595653553,0.737359342499912,0.112590306838552,1153002.80399,115300.42418426,93905.4305738887,21393.8645570951,1.12905327636485,0.914492194776768,0.149280192271508
1175.76207170748,1455.49820794662,132.617669178643,900.055717268543,1434.59258234386,23.2684100560646,7.35450711865907,275.502376251631,20.9056256042018,490.932891188963,0.845852314328675,0.00245588685212962,507.046040409828,467.296538934522,470.369649618543,36.6763907912843,352.511959606837,1.74788301206996,113.036696315615,2.76302737057421,1.45207107525437,0.0868216498552789,0.928322708648974,361.994028019811,58.8636588613722,9.48206841297407,58.7067292856947,0.999385753660468,0.729965478346904,0.143968007371324,1455498.20794662,145549.81784502,123113.652769289,22434.9924791259,1.1725966048307,0.917405191148945,0.154149898691096
1216.19213912506,1759.65256426053,133.96193294649,1000.02763901037,1729.29836387014,23.1027562857463,9.0430335138223,216.027352251497,30.3542003917745,486.534696374288,0.867854025597549,0.00249642841494642,524.470814753134,483.362377039727,486.533259830087,37.9375549230476,364.630784628028,1.80798618235968,116.923606229339,2.83342032229438,1.45655903385771,0.087701594799873,0.937732545134829,376.094313683775,71.1662761029427,11.4635290557469,70.9746299671913,0.999378230150359,0.724874001987481,0.176186081439529,1759652.56426053,175965.2398089,152712.156154655,23251.880556888,1.20309735714563,0.919330205896149,0.157527906791248
1257.99975206089,2065.80036582179,135.371422781027,1080.8502280235,2024.42777730914,22.9412765226567,10.7745452408526,177.057352889398,41.3725885139771,482.224949638086,0.884121459059109,0.00253761380854911,542.488546913445,499.975539772428,503.246857091864,39.2416898215809,377.162450449908,1.87013720609497,120.942952116425,2.90636040350959,1.46433263883403,0.0886242338069424,0.947598963607683,390.620426756113,83.5502915240992,13.4579763062047,83.3229351794823,0.999370758877878,0.721154947211985,0.209326255471274,2065800.36582179,206580.024969072,182641.84335552,23936.9559648138,1.22564873747905,0.920696784705975,0.160008210712507
1301.25174427208,2374.32381779843,136.846883924469,1149.12714804119,2320.390289355,22.7836254019707,12.5513248005581,152.062546713056,53.933528444682,477.995833381112,0.896637266366432,0.0025794617781996,561.127963414277,517.162527474535,520.537083134004,40.5908802802725,390.126932722973,1.93443543806152,125.1011593135,2.98195267317686,1.4744726032456,0.0895900543577886,0.95792718075755,405.59483282206,96.0312206809188,15.467900099087,95.7670609603261,0.999363200453509,0.718319461175391,0.243480529195226,2374323.81779843,237432.367927786,212890.72174595,24540.4031825601,1.24299927599112,0.921717090890785,0.161906584086704
1345.98101390299,2685.55038953435,138.388198992428,1209.57319042407,2617.5748173921,22.6294986930792,14.3745901431637,136.366051922972,67.9755721434721,473.840430000129,0.90656362841178,0.00262197482883436,580.403159590122,534.936371747391,538.417007075553,41.9861525145685,403.534051344643,2.00092978450409,129.401390618245,3.06024513864728,1.48644437050911,0.0905989792486084,0.968716374894582,421.029485128775,108.622366650682,17.4954337841327,108.320215607759,0.9993554806624,0.716086425764316,0.278736700526607,2685550.38953435,268555.028863575,243462.230541893,25091.5415615894,1.25676009243097,0.922507822015383,0.163406105000171
1392.23759003181,2999.83314809081,139.996465509596,1265.24082917835,2916.37432136373,22.4787203646472,16.2460953900119,126.968639602933,83.4588267282533,469.754545596568,0.914627885742014,0.00266516282362927,600.335607162404,553.316918136746,556.906540044965,43.4290671174386,417.398767737564,2.06969461844254,133.84845578074,3.14132057364643,1.49993083772312,0.0916517265203342,0.979974228683552,436.941645208937,121.338073213457,19.5428774713734,120.996639889837,0.999347549826132,0.714282485115935,0.315190264575318,2999833.14809081,299983.307173282,274373.10498171,25608.9342520793,1.2679394917253,0.923138553769108,0.164620383314243
