NaiveCT,ActivCT,TregCT,ThyDerivedNaive,ActivNaive,ThyDerivedTregs,NaiveDerivedTregs,ProlNaive,ProlActiv,ProlTregs,Il2,ThyWeight,NaiveGain,NaiveLoss,ThymicProductionIR,NaiveProlIR,ActivatedNaiveIR,NaiveToTregIR,NaiveDeathIR,TregGain,TregLoss,TregThymicProductionIR,TregProlIR,TGains,TLoss,TProlIR,TDeathIR,ActivationSuppression,TregDeathSuppression,ActiveDestruction,ILGain,ILLoss,AcTConsumption,TregConsumption,IL2Death,ActivationSuprBoost,DeactivationBoost
1027,252,128,18,252,24,1,1008,0,510,0.0001,0.0023,445.496955901276,411.494348425538,417.767955728135,27.7290001731406,313.419242517007,1.5271770391603,96.5479288693706,2.19181357659102,0.9421329418884,0.0895890033269344,0.57504753410378,315.044085237685,9.35027542182626,1.62484272067833,9.32402240417464,0.999999670442441,0.999863276266083,1.54308691767009e-05,252000,5.080138629,2.52,2.56,0.000138629,0.000587775065764767,1.95749833227159e-05
1061.7102905326,558.168470507392,129.701685885512,362.465968173161,555.598984025985,23.9932876236225,2.54576973304776,698.574365845081,2.56948647881483,508.522549936492,0.682707077835724,0.00233804910225701,460.546051896635,425.254727055616,431.879873873262,28.6661780233726,323.864903113881,1.57879218884284,99.8110317528923,2.25226453648345,0.493800767565713,0.0907798895346212,0.582692458105989,327.463855400452,20.7112053263496,3.5989522865718,20.6522830329953,0.999545351155813,0.517183353030187,0.0471734149305987,558168.470507392,55817.1547662616,38106.5565440137,17709.6517922529,0.946429994932886,0.800603850345252,0.117887625924049
1097.5942880343,865.717369543287,131.503712420275,605.089734370435,858.72870616628,23.9962326903765,4.1388421210323,492.055715565498,6.98866337463248,507.236843125904,0.766971967722466,0.002376707369299,476.103494503321,439.622040133208,446.468448541353,29.635045961968,334.805413021658,1.63215267283298,103.184474438717,2.31498183385445,0.472503592800725,0.0920409926404378,0.590788168381032,340.387375585416,32.1242776279062,5.58196256375874,32.0316196400982,0.999528717700656,0.488096282255062,0.0758438571076142,865717.369543287,86571.09090214,66398.0954410132,20171.9322155576,1.06324556913398,0.818535551028099,0.130538795656862
1134.68701926847,1174.96385408876,133.38320613959,779.870208069741,1161.7648709343,24.0041540649602,5.78095044745018,354.516106412081,13.1989831521594,506.042260710538,0.814961259357532,0.00241598343924281,492.184415910669,454.474761274762,461.547866199125,30.636549711544,346.115900916641,1.68731057688417,106.671549781237,2.37989878600935,0.464382719310183,0.0933563045827765,0.599231904542401,353.691819430039,43.6013211490977,7.57591851339793,43.4737670619801,0.999516824650204,0.472947893989966,0.105535262629776,1174963.85408876,117496.561125953,95755.0022227756,21740.4291305331,1.12977264423475,0.827376566401183,0.137582836106846
1173.02831452328,1486.22739681178,135.333705980871,909.607555023679,1465.07955144101,24.0154787655875,7.47383853678783,263.219288553957,21.1478453685679,504.904548982025,0.845933227003582,0.00245588676385727,508.806026712006,469.827908102305,477.134262022119,31.6717646898878,357.807580759972,1.74432512972235,110.276002212611,2.44704107281368,0.461921142394911,0.0947213032051875,0.607994639886139,367.39046078768,55.1542500669312,9.58288002770765,54.9905458157587,0.999506645926475,0.463660675783852,0.136306549150203,1486227.39681178,148622.742217936,125724.913784612,22896.6557245504,1.1727087732628,0.832639031509442,0.142068725795901
1212.66195407694,1799.83402750931,137.353463791171,1009.56235162805,1769.0449333735,24.029504859791,9.21936397007191,202.964569853107,30.7890941336823,503.808034823996,0.867575958425333,0.00249642792252541,525.987245326501,485.698696654923,493.245372361983,32.7418729645184,369.893487718855,1.80326143381652,114.001947502251,2.51646471911503,0.462469008199175,0.0961347645662823,0.617068520732231,381.498436996743,66.7952249713262,11.6049492778876,66.5940190329076,0.999497188462024,0.457384471903044,0.168234299557642,1799834.02750931,179983.3884525,156149.273142292,23832.9125983328,1.20271187540545,0.836129891989817,0.145175797539298
1253.63949175959,2116.12787680479,139.442881897977,1089.95614561178,2074.0409567693,24.0458786674056,11.019685149737,163.592720817851,42.0869200334185,502.744397972601,0.883550454239717,0.00253762048796773,543.750354870395,502.107627765697,509.902088381537,33.8482664888583,382.389199405971,1.8641961511196,117.854232208606,2.58824847533858,0.464859633655974,0.0975969696583785,0.626455354560597,396.03354455141,78.5370830628805,13.6443451454395,78.2969195770889,0.999488027533437,0.452859918143174,0.201404581598947,2116127.87680479,211612.76386347,186970.57467802,24640.9643282906,1.22485715920798,0.838614500181345,0.147454729301506
1295.98592806507,2435.3962821327,141.601836446334,1157.88268866731,2380.41996651415,24.0643628458899,12.8758709966742,138.042471441405,54.9763156165535,501.708154967384,0.89582277356818,0.00257946474317531,562.106122971064,519.064631521204,527.114502694818,34.9916202762455,395.302258443358,1.92716645804852,121.835206619797,2.66242887421611,0.468496511954188,0.0991078312220322,0.636154584945554,411.005178764748,90.3905562295153,15.7029203213904,90.1098789589244,0.99947895354758,0.449444296964375,0.235901583752572,2435396.2821327,243539.617063468,218168.345219775,25370.0299735405,1.24187015276983,0.8404727011061,0.14919726977363
1339.74885297922,2757.97050134355,143.831821802148,1217.86385329394,2688.54788247266,24.0848449040864,14.78990912805,121.84427665277,69.4226188689647,500.69620472761,0.905544703290094,0.00262197142070759,581.075104344468,536.588710634435,544.901885088163,36.1732192563053,408.647122857639,1.9922431222115,125.949344654584,2.73908444204785,0.473048104512152,0.100668394422453,0.646172925413905,426.429933543963,102.368013061271,17.7828106863239,102.045153748333,0.999469844796466,0.4467748557131,0.271819980933243,2757970.50134355,275797.042159264,249746.557932198,26049.2288795,1.25534756672402,0.841914636007704,0.150572633300716
1384.97887868011,3084.19125000929,146.134735014068,1272.97591713266,2998.79574077536,24.1072642280135,16.7639108336789,111.975675831301,85.3955092320826,499.706517283813,0.913435331446879,0.00266515198632311,600.679157646302,554.700090337312,563.284727688447,37.3944299578547,422.439184584994,2.05950140529916,130.201404347018,2.81830029005359,0.478316364655716,0.102279986186076,0.656518898568351,442.325397687206,114.482179295807,19.8862131022119,114.11535045177,0.999460624795613,0.444631453004496,0.309260901265677,3084191.25000929,308419.117978741,281720.92566978,26696.9260226953,1.26628626563149,0.843065931953592,0.151685657325371
